"TIME"	"GEO"	"S_ADJ"	"UNIT"	"INDIC_NA"	"Value"
"2007Q4"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.1"
"2008Q1"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.8"
"2008Q2"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.0"
"2008Q3"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.5"
"2008Q4"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.3"
"2009Q1"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-9.2"
"2009Q2"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.4"
"2009Q3"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.8"
"2009Q4"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.2"
"2010Q1"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-8.7"
"2010Q2"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.9"
"2010Q3"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.8"
"2010Q4"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.2"
"2011Q1"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-6.4"
"2011Q2"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.6"
"2011Q3"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.5"
"2011Q4"	"Austria"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.282"
"2006Q1"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.3"
"2006Q2"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.7"
"2006Q3"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-2.1"
"2006Q4"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.6"
"2007Q1"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.2"
"2007Q2"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.4"
"2007Q3"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-2.3"
"2007Q4"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.6"
"2008Q1"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-5.7"
"2008Q2"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.5"
"2008Q3"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-2.6"
"2008Q4"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.3"
"2009Q1"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-7.8"
"2009Q2"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"6.6"
"2009Q3"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.5"
"2009Q4"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.2"
"2010Q1"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.9"
"2010Q2"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"6.0"
"2010Q3"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.9"
"2010Q4"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.2"
"2011Q1"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-6.5"
"2011Q2"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.5"
"2011Q3"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	-2.159
"2011Q4"	"Portugal"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	-2.159
"2006Q1"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-5.8"
"2006Q2"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.3"
"2006Q3"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.2"
"2006Q4"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.5"
"2007Q1"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-5.8"
"2007Q2"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"6.0"
"2007Q3"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.2"
"2007Q4"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.9"
"2008Q1"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-7.7"
"2008Q2"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.2"
"2008Q3"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.5"
"2008Q4"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.6"
"2009Q1"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-13.5"
"2009Q2"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.3"
"2009Q3"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.0"
"2009Q4"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.2"
"2010Q1"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-7.5"
"2010Q2"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"8.8"
"2010Q3"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.4"
"2010Q4"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"6.5"
"2011Q1"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-8.2"
"2011Q2"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"6.8"
"2011Q3"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.6"
"2011Q4"	"Finland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.459"
