"TIME"	"GEO"	"INDIC_NA"	"SECTOR"	"UNIT"	"Value"
"2009Q1"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"38.5"
"2009Q2"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"35.1"
"2009Q3"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"39.4"
"2009Q4"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"43.3"
"2010Q1"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"44.9"
"2010Q2"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"47.0"
"2010Q3"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"47.0"
"2010Q4"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"48.3"
"2011Q1"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"46.0"
"2011Q2"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"45.3"
"2011Q3"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	50.224
"2011Q4"	"Finland"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	50.224
